Comment,Designator,Footprint,LCSC Part #
100k,R1,R_0805_2012Metric,C17407
100nF,"C2,C3,C4,C5,C6",C_0805_2012Metric,C49678
10k,"R10,R11,R9",R_0805_2012Metric,C17414
12V DC in [DC barrel jack 5.5x2.1 PJ-102A compatible (check pad layout!)],J1,BarrelJack_CUI_PJ-102AH_Horizontal,C20518877
1k,"R12,R13",R_0805_2012Metric,C17513
2.2k,"R5,R6,R7,R8",R_0805_2012Metric,C17520
3.5mm pitch 2P screw terminal horizontal (KF350/XY350 class),"J10,J13,J14,J8,J9","TerminalBlock_Phoenix_PT-1,5-2-3.5-H_1x02_P3.50mm_Horizontal",C474892
3.5mm pitch 3P screw terminal horizontal (KF350/XY350 class),"J11,J4","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",C474893
3.9k,"R3,R4",R_0805_2012Metric,C26010
330uF 25V low-profile <=7.7mm,C1,CP_Elec_6.3x7.7,
4.7k,R2,R_0805_2012Metric,C17673
5V ESD clamp (SOD-323),U5,D_SOD-323,C19224
AOD403,Q1,TO-252-2,C28969
CAT24C32,U4,SOIC-8_3.9x4.9mm_P1.27mm,
G5LE-1-CF DC12,"K1,K2,K3,K4",Relay_SPDT_Omron-G5LE-1,C1524650
MF-RG500 5A [radial PTC resettable fuse 5A (RGEF500 class)],F1,Fuse_Bourns_MF-RG500,C468988
MF-RHT100 1A [radial PTC resettable fuse 1A (RHT/RGEF100 class)],"F2,F3,F4",Fuse_Bourns_MF-RHT100,C3760872
Pololu D24V50F5 5V/5A [female header 1x5 2.54mm],PSU1,PinSocket_1x05_P2.54mm_Vertical,C50950
RPi GPIO (HAT) [female header 2x20 2.54mm TALL stacking >=11mm (back-side parts need clearance)],J3,PinSocket_2x20_P2.54mm_Vertical,C35165
SMBJ16A,D1,D_SMB,
SS34,"D10,D11,D9",D_SMA,C8678
TBD62003AFG,U2,SOIC-16_3.9x9.9mm_P1.27mm,C163227
green,"D5,D6,D7,D8",LED_0805_2012Metric,C2297
